trimmed_line,is_title,title,index,abstract,article_type,authors,document_type,issue,place_ofpublication,date,pubtitle,year,volume
75. 'Mudderella' June 4,TRUE,'Mudderella' June 4,74,"A history of violence courses through the veins of the LGBTQIA community-in Chicago, nationally and internationally. The victims and survivors have come from every letter of the LGBTQIA alphabet, every race, class, religion, ethnicity, ability and age. Some have made headlines, such as Matthew Shepard and Brandon Teena, or those 32 people killed in 1973 at a gay bar in New Orleans-up until this week, the largest single targeted murder of LGBTQIAs in history.",Newspapers,"Baim, Tracy",Commentary,38,"Chicago, Ill.","Jun 15, 2016",Windy City Times,2016,31
76. Talking with prison abolitionist Mariame Kaba,TRUE,Talking with prison abolitionist Mariame Kaba,75,Mudderella events are non-competitive challenges designed to empower women to work together while overcoming obstacles and having fun.,Newspapers,Anonymous,News,34,"Chicago, Ill.","May 18, 2016",Windy City Times,2016,31
"77. Assault, violence groups release statement",TRUE,"Assault, violence groups release statement",76,"Ever since I've known her, [Mariame Kaba]'s always been there doing that work with organizations like Broadway Youth Center and Young Women's Action Team, and has always been actively engaged in supporting and collaborating with youth around these issues. So it's not surprising that she has helped create a large cadre of people who are now doing so much radical work: she's deep rooted in their organizations.",Newspapers,"Nair, Yasmin",Commentary,33,"Chicago, Ill.","May 11, 2016",Windy City Times,2016,31
78. 'Mudderella' June 4,TRUE,'Mudderella' June 4,77,"Safety and privacy are important for all of us,"" said Terri Poore, policy director at the National Alliance to End Sexual Violence. ""Passing laws like the one in North Carolina to harm transgender people, or denying them protection from discrimination, does nothing to help survivors of violence...",Newspapers,Anonymous,General Information,31,"Chicago, Ill.","Apr 27, 2016",Windy City Times,2016,31
79. Activist/scholar Richie keynotes International Women's Day event,TRUE,Activist/scholar Richie keynotes International Women's Day event,78,Mudderella events are non-competitive challenges designed to empower women to work together while overcoming obstacles and having fun.,Newspapers,Anonymous,News,30,"Chicago, Ill.","Apr 20, 2016",Windy City Times,2016,31
80. in the LIFE: Kyle J Krueger,TRUE,in the LIFE: Kyle J Krueger,79,"To commemorate International Women's Day; the YWCA Evanston/North Shore, Northwestern University Women's Center, The Woman's Club of Evanston, Evanston Women's History Project, Frances Willard Historical Association, the League of Women Voters of Evanston and the City of Evanston co-sponsored a breakfast event featuring a keynote address, ""Gender Violence: Addressing Injustice,"" by activist, author and scholar Beth E.",Newspapers,"Maxwell, Carrie",News,25,"Chicago, Ill.","Mar 16, 2016",Windy City Times,2016,31
"81. Affinity holds annual Burning Bowl, names new director",TRUE,"Affinity holds annual Burning Bowl, names new director",80,"""It's really just a job,"" [Kyle J. Krueger] said. ""A lot of these guys have become my good friends, so I'm quite used to seeing the guys and getting up in their business to paint them. To me it's just a 3D canvass. It's hard to think of anything else in the moment when getting them painted and dressed in short amounts of time.",Newspapers,"Forman, Ross",Feature,17,"Chicago, Ill.","Jan 20, 2016",Windy City Times,2016,31
82. ASK A FEMINIST,TRUE,ASK A FEMINIST,81,"For Affinity, Black lives have always mattered,"" [Rupert-Gordon] added. ""That's what makes me proud of, not just our past, but for our future. In the next 20 years, we will continue to serve in trans communities, we will prioritize Black voices and highlight the experiences of lesbian, bisexual and queer women. We will work to eliminate wage gaps and experience education. We will work to ensure that people like us are informed about voting and policies that matter to us.",Newspapers,"Hammond, Gretchen Rachel",News,16,"Chicago, Ill.","Jan 13, 2016",Windy City Times,2016,31
"83. Chicago homeless, advocates confront Ald. Cappleman",TRUE,"Chicago homeless, advocates confront Ald. Cappleman",82,"CC: I'm still struggling to figure it out as well. To me it's the difference or the tension between a women's rights politics and a feminist politics, or an LGBT politics and a queer politics. What I'm looking for and have found, I hope, is a radical trans feminist politics that is thinking about and rooted in the transformation of institutions that would oppress and limit people's understanding and performance of gender.",Newspapers,"Cohen, Cathy J;Jackson, Sarah J",Interview,14,"Chicago, Ill.","Dec 30, 2015",Windy City Times,2015,31
"84. Steinem, Gay talk with sold-out Chicago audience",TRUE,"Steinem, Gay talk with sold-out Chicago audience",83,"[Robert] claimed that he and others have tried to approach [Cappleman] about the issue numerous times. ""We've gone to his office and he's never available,"" Robert said. ""He doesn't want to claim responsibility. I'm not a criminal. I'm homeless. A lot of us just had a bad break. Cappleman wants to close the shelters down. Where are we supposed to go? If Cappleman had to spend a day out here living like we did, he'd know what it is like.""",Newspapers,"Hammond, Gretchen Rachel",News,8,"Chicago, Ill.","Nov 18, 2015",Windy City Times,2015,31
85. New study aims to improve health care for LGBT people of color,TRUE,New study aims to improve health care for LGBT people of color,84,"""What seems to be one thing in the distance is very different close-up,"" [Steinern] quoted. ""I tell you this story because it's the kind of lesson that can only be learned on the road. And also because I've come to believe that, inside, each of us has a purple motorcycle. We only have to discover it and ride.""",Newspapers,"Hammond, Gretchen Rachel",News,6,"Chicago, Ill.","Nov 4, 2015",Windy City Times,2015,31
86. letters,TRUE,letters,85,"In order to identify and recruit participants, [Marshall Chen] and his colleagues called in the Morten Group. Founded by Mary Morten, who formerly served as Mayor William M. Daley's liaison to the LGBT community, the Morten Group previously conducted the 2013 LGBT Needs Assessment, identifying the concerns of Chicagoland's LGBT population. ""We learned through the needs assessment that healthcare was the number one issue,"" Morten said.",Newspapers,"Baker-Jordan, Skylar",News,5,"Chicago, Ill.","Oct 28, 2015",Windy City Times,2015,31
87. Windy City Times at 30,TRUE,Windy City Times at 30,86,"Affinity's constituents and donors have been a supreme pleasure to work with over the years. There are foundations that have invested in Affinity early on and for multiple years-Alphawood, Astraea, Chicago Foundation for Women, Crossroads Fund, Woods Fund of Chicago. And to be notified that Affinity was one of the grantees in the very first funding round of the Chicago Community Trust's LGBT Fund was a beautiful moment.",Newspapers,"Hunt, Kim L",Letter,2,"Chicago, Ill.","Oct 7, 2015",Windy City Times,2015,31
88. 19th transgender murder raises questions about reporting,TRUE,19th transgender murder raises questions about reporting,87,"As for [Jeff McCourt], his last years were lonely and painful. [Mike Miner], in his Reader obituary May 7, 2007, wrote: ""McCourt had one friend at the end, possibly the only one who knew about his death when it happened.",Newspapers,"Baim, Tracy",Feature,52,"Chicago, Ill.","Sep 23, 2015",Windy City Times,2015,30
89. Demystifying sexual abuse in the LGBTQ community,TRUE,Demystifying sexual abuse in the LGBTQ community,88,"In the 1970s and '80s, computers didn't have the power to search everything,"" he said. ""We had to narrow the search down as much as we could and so we used sex, race or sometimes year-of-birth as a filter so that we weren't looking for a needle in the biggest haystack. Race was always something that could be subjective. How was it designated in the database? When you didn't know that, there was a chance that you would miss it in the search.",Newspapers,"Hammond, Gretchen Rachel",News,51,"Chicago, Ill.","Sep 16, 2015",Windy City Times,2015,30
90. COMMUNITY CALENDAR,TRUE,COMMUNITY CALENDAR,89,"Sexual abuse is a difficult topic for anyone to talk about. It evokes a lot of fear, confusion, anger, and shame-a potent mix that helps keep the topic out of our daily conversations. But sadly, abuse is part of our everyday world,"" Research Psychologist Dr. Nina Burrowes said. ""It's a statistical inevitability that all of us have people in our lives who have experienced abuse-especially within the LGBT community.",Newspapers,"Toce, Sarah",News,45,"Chicago, Ill.","Aug 5, 2015",Windy City Times,2015,30
91. Leaders reflect on activism as organization folds,TRUE,Leaders reflect on activism as organization folds,90,"Queer, III and Okay 2015 Annual multidisciplinary performance series exploring, challenging, and reinventing narratives about the lives of queer individuals and their relationships to HIV and other forms of mental and chronic illness. 7:30pm DCA Storefront Theater 66 E Randolph St Chicago https://www.facebook.com/ events/920311198012717/",Newspapers,Anonymous,General Information,43,"Chicago, Ill.","Jul 22, 2015",Windy City Times,2015,30
92. Commissioner launches Off the Sidelines-Chicago,TRUE,Commissioner launches Off the Sidelines-Chicago,91,"After the archiving event I was just in awe of the community stepping up and sharing what Amigas Latinas has meant to them,"" said [Alma Izquierdo]. ""To hear an individual who was at a very challenging and difficult point in their life tell their story and just knowing that Amigas Latinas was there to help them that to me is the epitome of what Amigas Latinas has meant to the community. It's really had an impact on the LGBTQ community here in Chicago and across the United States.",Newspapers,"Maxwell, Carrie",News,41,"Chicago, Ill.","Jul 8, 2015",Windy City Times,2015,30
93. Deborah's Place marks 30 years fighting for homeless women,TRUE,Deborah's Place marks 30 years fighting for homeless women,92,"Mikva Challenge leader and Lindblom Math &amp; Science Academy junior Heaven Johnson said: ""For me, sexual education for teenagers is an issue that's close to my heart and one that I'm hoping more Chicago girls and women take action on.",Newspapers,Anonymous,News,37,"Chicago, Ill.","Jun 10, 2015",Windy City Times,2015,30
"94. Griner, Johnson under seven-game suspension",TRUE,"Griner, Johnson under seven-game suspension",93,"[Deborah]'s Place Learning Centers help women connect to the rich diversity of arts and culture that the rest of Chicago's residents and tourists take for granted, whether that is tickets to a play, museum or Cubs game. ""You might be dealing with homelessness but you are a citizen and all citizens have a right to what author Earl Shorris called 'the life of the downtown',"" [Audrey Thomas] said. ""Homeless people feel isolated from arts and culture.",Newspapers,"Hammond, Gretchen Rachel",News,35,"Chicago, Ill.","May 27, 2015",Windy City Times,2015,30
"95. Griner, Johnson tie the knot",TRUE,"Griner, Johnson tie the knot",94,"[Laurel J. Richie] also said that [Brittney Griner] pled guilty April 28 in Goodyear City Court to misdemeanor disorderly conduct; Griner has to complete a 26-week course and, upon doing so, the disorder-conduct charge will be dismissed. Johnson's case (transferred to county court) is pending.",Newspapers,Anonymous,News,34,"Chicago, Ill.","May 20, 2015",Windy City Times,2015,30
96. Amigas Latinas to fold after 20 years; last event July 10,TRUE,Amigas Latinas to fold after 20 years; last event July 10,95,"People.com reported that, as about 75 guests looked on, the brides, both 24, were married beneath an archway at the Pointe Hilton Tapatio Cliffs Resort. Their first dance was to Ed Sheeran's ""Thinking Out Loud.""",Newspapers,Anonymous,News,33,"Chicago, Ill.","May 13, 2015",Windy City Times,2015,30
97. Jussie Smollett and Yazz: Lyons rule 'Empire',TRUE,Jussie Smollett and Yazz: Lyons rule 'Empire',96,"In recent years, Amigas Latinas found it increasingly difficult to maintain earlier levels of programming and advocacy. ""We struggled with this decision,"" says [Alma Izquierdo], ""because we know that there are still women out there who haven't found the community or the support they need to come out as LGBTQQ Latinas."" At the same time, the board notes that over the past 20 years there has been a significant expansion in the availability of services to LGBTQ Latinos in Chicago.",Newspapers,Anonymous,News,32,"Chicago, Ill.","May 6, 2015",Windy City Times,2015,30
98. Longtime political activist Jean Hardisty dies,TRUE,Longtime political activist Jean Hardisty dies,97,"[Jussie Smollett]: I'm excited because there's so much more to come. The dope thing about season one is there are so many questions still to be answered. I feel like season one was the set-up and then season two will be, ""Let's go back and let's clean up all of the Lyon's stuff."" I'm very happy where [Jamal]'s journey has taken him from beginning to now, and where it's going to end up going.",Newspapers,"Nunn, Jerry",Interview,28,"Chicago, Ill.","Apr 8, 2015",Windy City Times,2015,30
"99. U.S. murders of trans, gender-exploring people continue",TRUE,"U.S. murders of trans, gender-exploring people continue",98,"In PRA's 10-year anniversary report in 1991, four years after the agency moved from Chicago to the Boston area, Hardisty wrote that the agency had grown and had a major impact, but at the same time, ""Each year has been more depressing and alarming that the Last.",Newspapers,"Baim, Tracy",Obituary,26,"Chicago, Ill.","Mar 25, 2015",Windy City Times,2015,30
100. HUD tells homeless shelters to respect self-identified gender,TRUE,HUD tells homeless shelters to respect self-identified gender,99,"In the [Brian Golee] case, both national and international media Leaped on the story but with no accord as to [Golec]'s own preference, they scrambled for a label regardless of assertions and desperate pleas to stop made by Golec's own family, fiancée and friends.",Newspapers,"Hammond, Gretchen Rachel",News,22,"Chicago, Ill.","Feb 25, 2015",Windy City Times,2015,30
101. Out gay candidate makes play for 15th Ward seat,TRUE,Out gay candidate makes play for 15th Ward seat,100,"""While we welcome the new HUD guidance, we will also continue to improve our staff and volunteers' awareness of gender inclusion, ensuring that all female-identified and nonbinary individuals find a welcoming, supportive community at [Deborah]'s Place. We also believe that shelters are only a temporary and short-term solution to the complex problem of homelessness. ALL people need access to safe, affordable housing and supportive services to help them remain housed.""",Newspapers,"Davis, Andrew",News,22,"Chicago, Ill.","Feb 25, 2015",Windy City Times,2015,30
102. Sam Smith star of the Grammys,TRUE,Sam Smith star of the Grammys,101,"With domestic violence, I'm very well-connected with Clara's House, the oldest domestic violence shelter in Englewood. This year, Mrs. Kirk, their founder, derided to team up with members of the PRCC [Puerto Rican Cultural Center]-Project VIDA. I met with a number of their people, they were here in the ward, and they were mentioning about transgender domestic violence, those issues.",Newspapers,"Simonette, Matt",Interview,21,"Chicago, Ill.","Feb 18, 2015",Windy City Times,2015,30
103. TPAN receives $115K from Alphawood,TRUE,TPAN receives $115K from Alphawood,102,"In addition, Tony Bennett and Lady Gaga per- formed their rendition of the jazz tune ""Cheek to Cheek""; Rihanna joined Kanye West and Paul McCartney to perform ""FourFiveSeconds"" and No Doubt frontwoman Gwen Stéfani and Ma- roon 5 frontman Adam Levine-both judges on NBC's The Voice-sang ""My Heart is Open."" The night ended with Beyonce and gospel sing- ers singing the hymn ""Precious Lord, Take My Hand,"" before artists Common and John Legend performed their Oscar-nominated...",Newspapers,Anonymous,News,20,"Chicago, Ill.","Feb 11, 2015",Windy City Times,2015,30
104. Letters to the editor,TRUE,Letters to the editor,103,"For more than 27 years, TPAN has delivered HIV/AIDS-related programs for hundreds of individuals each year who are Living below the federal poverty Level and impacted by HIV/AIDS.",Newspapers,Anonymous,News,19,"Chicago, Ill.","Feb 4, 2015",Windy City Times,2015,30
105. Chicago Women Take Action forum hosts mayoral candidates,TRUE,Chicago Women Take Action forum hosts mayoral candidates,104,"Since 2009, Executive Director Kim Hunt's implementation of Affinity's various organizational programming includes the proposed ""Civic 101 workshops as well as past programs such as the Domestic Violence Sunday sermons, the ""It Takes a Village"" program and the various research projects. These are all perfect examples of how a grassroots community-service organization's vision can be relevant, Long-term and sustainable.",Newspapers,"O'Connor, Michael",Letter,18,"Chicago, Ill.","Jan 28, 2015",Windy City Times,2015,30
106. Intimate partner violence report out,TRUE,Intimate partner violence report out,105,"Expressing his disappointment in [Rahm Emanuel] for his closure of fifty schools, [Willie L. Wilson] said that he would approach the issue of education funding from a ""business perspective not a poLitidans perspective."" Thus he proposed opening up a water-based Casino in the dty. ""We would also Lower taxes,"" he added. ""Most of dtizens drive into neighboring suburbs to buy gasoline because the taxes are so high.""",Newspapers,"Hammond, Gretchen Rachel",News,18,"Chicago, Ill.","Jan 28, 2015",Windy City Times,2015,30
107. Dear White People; Nightcrawler; film note,TRUE,Dear White People; Nightcrawler; film note,106,"Center on Halsted emailed to Windy City Times, ""The report yet again illustrates that violence within LGBTQ relationships is often ignored and lacks visibility, both within and outside of various communities.",Newspapers,Anonymous,News,6,"Chicago, Ill.","Nov 5, 2014",Windy City Times,2014,30
"108. Chicago lesbian joins NFL domestic-violence, sexual-assault group",TRUE,"Chicago lesbian joins NFL domestic-violence, sexual-assault group",107,Although the characters aren't particularly complex-each seeming to represent a spedfic point [Justin Simien]'s wants to make about radsmhis ear for sharp retorts keeps the catchy dialogue consistently fresh and funny.,Newspapers,"Knight, Richard, JR",Film Review,6,"Chicago, Ill.","Nov 5, 2014",Windy City Times,2014,30
109. Intimate partner violence report out,TRUE,Intimate partner violence report out,108,"Richie admitted that she ""sort of wondered"" about being chosen by the NFL, being an out Lesbian. ""If I had more time to do this [job], and was going to be doing it for a Longer time, I would want to push really hard on the questions around sexuality in this, particularly, hyper masculinity. You can't ignore it or deny it,"" Richie said. ""At its root, what we're dealing with is, questions about masculinity, right alongside race and power.""",Newspapers,"Forman, Ross",News,6,"Chicago, Ill.","Nov 5, 2014",Windy City Times,2014,30
110. CALENDAR,TRUE,CALENDAR,109,NCAVP's 2013 report documents 21 homicides-the highest number of LGBTQ intimate partner violence (IPV) homicides recorded and on par with the 21 homicides in 2012.,Newspapers,Anonymous,News,4,"Chicago, Ill.","Oct 22, 2014",Windy City Times,2014,30
111. UIC policy expert named to NFL's violence panel,TRUE,UIC policy expert named to NFL's violence panel,110,"Night of 100 Drag Queens 2014: Animal Queendom Annual two-night benefit extravaganza for Equality Illinois. 7 pm VIP reception, gen. adm. at 8pm. Tickets available in advance from Sidetrack bartenders and online. Hosted by Debbie Fox and Tequila Mockingbird. Directed by Jeff Lynch. See ad in Nightspots or Sidetrack website for full list of performers. 7:00pm - 11:00pm Sidetrack 3349 N Habted St Chicago http://www.sidetrackchicago.com",Newspapers,Anonymous,General Information,4,"Chicago, Ill.","Oct 22, 2014",Windy City Times,2014,30
112. Facebook trying to fix policy,TRUE,Facebook trying to fix policy,111,"""The problem of violence, particularly against women and children, can't simply be addressed by public polices relying on incarceration. So it's important for organizational and grassroots efforts to take into account the need for education, resources, outreach and social change,"" said [Beth Richie], who is professor of African-American studies; criminology, law, and justice; and gender and women's studies at UIC.",Newspapers,Anonymous,News,2,"Chicago, Ill.","Oct 8, 2014",Windy City Times,2014,30
113. CALENDAR,TRUE,CALENDAR,112,"""Our policy has never been to require everyone on Facebook to use their Legal name,"" [Chris Cox] noted. ""The spirit of our policy is that everyone on Facebook uses the authentic name they use in real life. For Sister Roma, that's Sister Roma. For Lil Miss Hot Mess, that's Lil Miss Hot Mess. Part of what's been so difficult about this conversation is that we support both of these individuals, and so many others affected by this, completely and utterly in how they use Facebook.""",Newspapers,"Simonette, Matt",News,2,"Chicago, Ill.","Oct 8, 2014",Windy City Times,2014,30
114. Billie Jean King takes fair shot at equality at luncheon,TRUE,Billie Jean King takes fair shot at equality at luncheon,113,"Bi discussion group Every other Tuesday, chat about upcoming bisexual events, concerns, and answer each other's questions about the community. Soft drinks, water are provided by the Center, or bring anything else you'd like to share, whether it's snacks or a good book! 7:00pm - 9:00pm Center on Halsted 3656 N Halsted Chicago http://www.centeronhabted.org",Newspapers,Anonymous,General Information,1,"Chicago, Ill.","Oct 1, 2014",Windy City Times,2014,30
115. Honors roll in for UIC researcher,TRUE,Honors roll in for UIC researcher,114,"""More than half of our minimum-wage workers are women,"" [Pat Quinn] said. ""It's very important that we in Illinois work together to raise the minimum wage and pass it by the end of this year in the General Assembly."" He also stressed that keeping women safe from the debilitating horrors wrought by domestic violence should be a goal shared by both the state and the country as a whole. ""I've had a chance to visit some who are on the front Lines making sure we protect all women...",Newspapers,"Blickensderfer, Gretchen Rachel",Feature,52,"Chicago, Ill.","Sep 24, 2014",Windy City Times,2014,29
116. Montrose Rocks annual event faces uncertain future,TRUE,Montrose Rocks annual event faces uncertain future,115,"[Tonda L. Hughes]' research dates back to the early 1990s. She said the UIC award ""Legitimizes my work."" Plus, being the first honoree is not Lost on Hughes ""because we have a number of really excellent, highly recognized national and international researchers in the college.""",Newspapers,"Forman, Ross",News,47,"Chicago, Ill.","Aug 20, 2014",Windy City Times,2014,29
117. AFC event 'Ignites' group's 30th anniversary,TRUE,AFC event 'Ignites' group's 30th anniversary,116,"""It wasn't [feasible] to host the event to test,"" said event organizer Ariq [Ariq Cabbler]. He said the problem stemmed from the denial of a request to keep the sound system on until 6:30 p.m. ""We didn't submit a permit this year [for the Montrose Location].""",Newspapers,"Wilson, Jason Carson",News,46,"Chicago, Ill.","Aug 13, 2014",Windy City Times,2014,29
118. Summer staycations,TRUE,Summer staycations,117,"""Nearly 30 years ago, when AIDS Foundation of Chicago was founded, we were faring a very different age in this epidemic,"" AFC Executive Director John PeLLer said. ""We've made a tremendous amount of progress in the fight against HIV.""",Newspapers,"Simonette, Matt",News,35,"Chicago, Ill.","May 28, 2014",Windy City Times,2014,29
119. Lay Me Down Softly,TRUE,Lay Me Down Softly,118,"Ibsen appears right next to Chekhov on the syllabus, but Calamity West's The Doll's House Project-subtitled ""Ibsen is Dead""-isn't your classroom version so much as it's an exploration of domestic politics in 1989 America, with Interrobang Theatre Project's production continuing through June 8 (773-935-6875).",Newspapers,"Barnidge, Mary Shen",News,35,"Chicago, Ill.","May 28, 2014",Windy City Times,2014,29
120. LGBT advocates praise VAWA guidelines,TRUE,LGBT advocates praise VAWA guidelines,119,"[Billy Roche], you see, isn't content to treat us Like the rubes come to pay strangers for the illusions that are [Theo Delaney]'s stock-in-trade, but instead regards us as contemplative observers more interested in the backstage dynamics of its personnel-blustery Theo, the boss; sexy Lily, his box-office manager; swaggering Dean, the aforementioned Killer; gentle Peader, his trainer, and laconic Junior, now the resident handyman, but himself a former pro boxer before being sidelined by a foot injury....",Newspapers,"Barnidge, Mary Shen",Theater Review,32,"Chicago, Ill.","May 7, 2014",Windy City Times,2014,29
121. Woman fights for right to 'walk while trans',TRUE,Woman fights for right to 'walk while trans',120,"The coalition also announced that ""the Office of Violence Against Women in the Department of Justice (OVW) announced a framework for analyzing the Limited conditions for services that are segregated or specific to gender and prohibited justifications based on overbroad assumptions or past practice."" Lastly, the group urged other federal agencies to follow ""the Lead of the Department of Justice and [apply] similar...",Newspapers,Anonymous,News,32,"Chicago, Ill.","May 7, 2014",Windy City Times,2014,29
122. Is CeCe McDonald Free?,TRUE,Is CeCe McDonald Free?,121,"[Jones]-who describes herself as an ""outspoken activist for human rights""-maintains that Project Rose paints all sex workers in Phoenix with the same brush. ""They treat us Like we are all selling our bodies for drugs,"" she said. ""That wasn't my story so I didn't take to it. I told them that I have a right to my own body. 'You cannot tell me what to do with my body' I said, so they rushed me through the program.",Newspapers,"Blickensderfer, Gretchen Rachel",News,28,"Chicago, Ill.","Apr 9, 2014",Windy City Times,2014,29
123. LGBT rights among topics discussed at immigration summit,TRUE,LGBT rights among topics discussed at immigration summit,122,"[CeCe McDonald]'s case has brought renewed awareness of the violence faced by transgender women of color. We are in the midst of an energized public conversation about transgender rights, due in part to McDonald's own activism, and that of supporters [Laverne Cox], Janet Mock, Leslie Feinberg, GLAAD, The Sylvia Rivera Law Project, and others. But there are still so many stories that need to be told in order for all of us to be free-including McDonald's forthcoming documentary.",Newspapers,"Royster, Francesca",Commentary,24,"Chicago, Ill.","Mar 12, 2014",Windy City Times,2014,29
124. CALENDAR,TRUE,CALENDAR,123,"For the first time, the ICIRR summit featured a workshop focusing on the needs of the LGBT immigrant community.",Newspapers,"Maxwell, Carrie",News,22,"Chicago, Ill.","Feb 26, 2014",Windy City Times,2014,29
125. Rachelle Brown works on LGBT religious issues,TRUE,Rachelle Brown works on LGBT religious issues,124,"Lipstick and Dynamite, Piss and Vinegar: The First Ladies of Wrestling"" Screening 11th Annual Dyke Delicious presents Lipstick and Dynamite profiles the amazing and often excruciating history of female wrestling from its origins as a circus side-show in the 1930's (banned in many states due to indecency), to it's ""hey-day"" in the 1950's and 60's where it soared in popularity.",Newspapers,Anonymous,General Information,20,"Chicago, Ill.","Feb 12, 2014",Windy City Times,2014,29
126. Looking back: Sports & Entertainment 2013,TRUE,Looking back: Sports & Entertainment 2013,125,"""It's a real interesting mix of people who are involved [with the church, driven by] their passion for this real openness and this real spiritual path mission,"" she said. ""What we're asking people to believe is faith and spirituality. They're doing it and we're doing things in a radical way.""",Newspapers,"Forman, Ross",News,14,"Chicago, Ill.","Jan 1, 2014",Windy City Times,2014,29
127. Looking back The year in national news,TRUE,Looking back The year in national news,126,"Oh, the ""Horror"": The third season of the FX show American Horror Story-called American Horror Story: Coven-featured actresses Patti LuPone and Angela Bassett. Producer [Ryan Murphy] (who also helms GLee) tweeted, ""Two legends are joining the cast of American Horror Story: Coven -Oscar nominee Angela Bassett and [Tony] winner Patti LuPone!"" LuPone and Bassett joned Sarah Paulson, Evan Peters and Frances Conroy as well as new actors Kathy Bates and Gabourey Sidibe (Precious).",Newspapers,"Davis, Andrew",Feature,13,"Chicago, Ill.","Dec 25, 2013",Windy City Times,2013,29
128. What's up next for Chicago's Catholics?,TRUE,What's up next for Chicago's Catholics?,127,"-Gates way: More than two years after playing an influential role in the [Obama] administration's repeal of ""Don't Ask, Don't Tell,"" former U.S. Secretary of Defense Robert Gates was named president-elect of the Boy Scouts of America. The Boy Scouts voted in May to approve a resolution removing any ban on members based on sexual orientation alone, although gay Scout Leaders are still prohibited. The policy change is slated to take effect Jan. 1, 2014.",Newspapers,"Davis, Andrew",News,13,"Chicago, Ill.","Dec 25, 2013",Windy City Times,2013,29
129. CALENDAR,TRUE,CALENDAR,128,"The Rainbow Sash Movement hopes the next Leader of the Archdiocese of Chicago is both humble and a servant. He needs to be open to a diversity of opinions; and 'Yes,' we think he should sit down with the LGBT Chicago political Leadership to really understand those concerns.",Newspapers,"Colbert, Chuck",News,11,"Chicago, Ill.","Dec 11, 2013",Windy City Times,2013,29
130. DICK Durbin visits Center on Halsted,TRUE,DICK Durbin visits Center on Halsted,129,"Divalia'ous"" Sunday brunch Diva Madam X will welcome ""Jingle Bell Brunch"" guesb with a variety of holiday tunes, musicab and seasonal sing-along favorites. Kit Katb seven projection screens will show holiday movies, from hilarious (Christmas Vacation, Elf) to heartwarming (It's a Wonderful Life, White Christmas). Chef JoAnn Witherell's brunch menu may be paired with an optional drink package for an additional $10 per person.",Newspapers,Anonymous,General Information,11,"Chicago, Ill.","Dec 11, 2013",Windy City Times,2013,29
131. Life after marriage (equality),TRUE,Life after marriage (equality),130,"[Dick Durbin] attended the ceremony wherein President Obama signed the repeal of ""Don't Ask, Don't Tell,"" where Cammermeyer recited pledge of allegiance. ""I thought, This has come full-circle/"" he said. ""She was the illustration of the challenge we face, and now she was here to celebrate as we start to come to grips with it.""",Newspapers,"Simonette, Matt",News,10,"Chicago, Ill.","Dec 4, 2013",Windy City Times,2013,29
132. Coming Out for Community,TRUE,Coming Out for Community,131,"There are two major things about being LGBT that continue to dent our arc in its search for justice: internalized homophobia and familial homophobia. Sarah Schulman writes about this in Ties that Bind: Familial Homophobia and Its Consequences. This is the damage that occurs in families, something that all of the societal acceptance in the world can't easily unpack. There are families who try to cure their LGBT youth, are violent toward them, kick them out and shun them.",Newspapers,"Baim, Tracy",Commentary,7,"Chicago, Ill.","Nov 13, 2013",Windy City Times,2013,29
133. Queer South Asian activist wades into marriage battle,TRUE,Queer South Asian activist wades into marriage battle,132,"The queer community has been a huge source of support economically, emotionally and socially. I would not be where I am if not for a dozens of people who offered me something I had no idea how to get on my own, people who afforded me their guidance and attention, people who did me small and large favors along the way. Thank you to my roommate who gave me clothes to wear to my first professional job when I was broke.",Newspapers,"Pérez, André",Commentary,3,"Chicago, Ill.","Oct 16, 2013",Windy City Times,2013,29
134. LGBT domestic-violence murder stats stun advocates,TRUE,LGBT domestic-violence murder stats stun advocates,133,"""In the South Asian community, I think it's more split, but in some of the East Asian organizations, people that I've spoken to, they're a Little more aligned with the Black and Latino queer communities where [marriage is] not helpful for certain segments of the population,"" [Naomi Anurag Lahiri] said. ""Or if it is, it's not the first priority when someone's homeless or thinking about killing themselves.""",Newspapers,"Sosin, Kate",News,3,"Chicago, Ill.","Oct 16, 2013",Windy City Times,2013,29
135. Talking with the ladies behind the BlogHer conference,TRUE,Talking with the ladies behind the BlogHer conference,134,"""Surprising? No,"" said [Jane Merrill]. ""Horrifying? Yes...this is a really terrifying report with the highest number of homicides ever recorded.""",Newspapers,"Sosin, Kate",News,2,"Chicago, Ill.","Oct 9, 2013",Windy City Times,2013,29
136. 'March on Springfield' to take place Oct. 22,TRUE,'March on Springfield' to take place Oct. 22,135,"KB: I recently graduated with my master's in education. I'm searching for a teaching job while balanring my online identity and performing poet identity with my teaching identity. While I'm extremely proud of the identity and following I've developed online as a blogger and performing poet, it has actually presented me with unexpected challenges in finding a job.",Newspapers,"Toce, Sarah",Feature,42,"Chicago, Ill.","Jul 24, 2013",Windy City Times,2013,28
137. Lane Tech teacher out and proud,TRUE,Lane Tech teacher out and proud,136,"[Tracy Bairn] is pubLisher and executive editor at Windy City Media Group, which produces Windy City Times, Nightspots, and other gay media in Chicago. She co-founded Windy City Times in 1985. She has won numerous gay community and journalism honors, including the Community Media Workshop's Studs Terkel Award. Bairn is the editor and co-author of several books on gay history, gay media and politics. Bairn served as covice chair of the Chicago Gay Games board.",Newspapers,Anonymous,Feature,40,"Chicago, Ill.","Jul 3, 2013",Windy City Times,2013,28
